code,name
01.01.01.02.01.18,МУКА ИЗ СЕМЯН ТЫКВЫ
01.01.01.02.01.19,МУКА АМАРАНТОВАЯ
01.01.01.02.01.20,"МУКА, ХЛОПЬЯ, ГРАНУЛЫ КАРТОФЕЛЬНЫЕ"
01.01.01.02.01.21,МУКА ЧЕРЕМУХОВАЯ
01.01.01.02.01.22,МУКА (ПУДРА)МИНДАЛЬНАЯ
01.01.01.02.01.23,МУКА ПШЕНИЧНАЯ ВИТАМИНИЗИРОВАННАЯ
01.01.01.02.03,КРАХМАЛ И ПРОДУКТЫ ИЗ КРАХМАЛОВ
01.01.01.02.03.01,КРАХМАЛ
01.01.01.02.03.03,ПАТОКА КРАХМАЛЬНАЯ
01.01.01.03,МЮСЛИ
01.01.01.04,ЗАВТРАКИ ГОТОВЫЕ
01.01.01.05,САХАР И СОЛЬ
01.01.01.05.01,САХАР
01.01.01.05.01.04,САХАР БЕЛЫЙ
01.01.01.05.01.04.01,САХАР БЕЛЫЙ СВЕКЛОВИЧНЫЙ
01.01.01.05.01.04.02,САХАР БЕЛЫЙ ТРОСТНИКОВЫЙ
01.01.01.05.01.05,САХАР КОРИЧНЕВЫЙ
01.01.01.05.01.05.01,САХАР КОРИЧНЕВЫЙ СВЕКЛОВИЧНЫЙ
01.01.01.05.01.05.02,САХАР КОРИЧНЕВЫЙ ТРОСТНИКОВЫЙ
01.01.01.05.01.06,САХАР-СЫРЕЦ В ТВЕРДОМ СОСТОЯНИИ
01.01.01.05.02,СОЛЬ ПИЩЕВАЯ
01.01.01.05.03,ЗАМЕНИТЕЛИ САХАРА
01.01.01.06,СОУСЫ КУЛИНАРНЫЕ
01.01.01.06.01,СОУСЫ НА БУЛЬОНЕ
01.01.01.06.03,ПАСТЫ ТОМАТНЫЕ
01.01.01.06.04,СОУСЫ НА ОСНОВЕ ХРЕНА
01.01.01.06.05,СОУСЫ НА ОСНОВЕ МОЛОКА И МОЛОЧНЫХ ПРОДУКТОВ
01.01.01.06.06,СОУСЫ НА СЛИВОЧНОМ МАСЛЕ
01.01.01.06.07,СОУСЫ НА РАСТИТЕЛЬНОМ МАСЛЕ
01.01.01.06.08,СОУСЫ НА УКСУСЕ
01.01.01.06.09,КЕТЧУПЫ И ОВОЩНЫЕ СОУСЫ
01.01.01.06.09.01,КЕТЧУПЫ
01.01.01.06.09.02,ОВОЩНЫЕ СОУСЫ
01.01.01.06.10,СОУСЫ СОЕВЫЕ
01.01.01.06.11,"СОУСЫ ФРУКТОВЫЕ И ЯГОДНЫЕ, СОУСЫ-ТОППИНГИ ДЕСЕРТНЫЕ"
01.01.01.06.12,ПРОДУКЦИЯ МАЙОНЕЗНАЯ
01.01.01.06.12.01,МАЙОНЕЗ
01.01.01.06.12.02,СОУСЫ МАЙОНЕЗНЫЕ
01.01.01.07,МЕД
01.01.01.11,"МАКАРОНЫ, ЛАПША И АНАЛОГИЧНЫЕ МУЧНЫЕ ИЗДЕЛИЯ"
01.01.01.12,МАСЛА И ЖИРЫ РАСТИТЕЛЬНЫЕ И ЖИВОТНЫЕ
01.01.01.12.01,МАСЛА РАСТИТЕЛЬНЫЕ
01.01.01.12.01.01,МАСЛО ПОДСОЛНЕЧНОЕ РАФИНИРОВАННОЕ
01.01.01.12.01.02,МАСЛО ПОДСОЛНЕЧНОЕ НЕРАФИНИРОВАННОЕ
01.01.01.12.01.03,МАСЛО СОЕВОЕ
01.01.01.12.01.04,МАСЛО ХЛОПКОВОЕ
01.01.01.12.01.05,МАСЛО ЛЬНЯНОЕ
01.01.01.12.01.06,МАСЛО ОЛИВКОВОЕ
01.01.01.12.01.07,МАСЛО КУКУРУЗНОЕ
01.01.01.12.01.08,МАСЛО ТЫКВЕННОЕ
01.01.01.12.01.09,МАСЛО КУНЖУТНОЕ
01.01.01.12.02,МАСЛА И ЖИРЫ ЖИВОТНЫЕ
01.01.01.12.02.01,"ЖИР БАРАНИЙ, ГОВЯЖИЙ, КОЗИЙ, СВИНОЙ"
01.01.01.12.02.02,ЖИР МОЛОЧНЫЙ
01.01.01.12.03,МАСЛА И ЖИРЫ КОМБИНИРОВАННЫЕ
01.01.01.12.03.01,МАРГАРИН
01.01.01.12.03.02,МАСЛА КОМБИНИРОВАННЫЕ
01.01.01.12.04,МАСЛА СЛИВОЧНЫЕ И ТОПЛЕНЫЕ
01.01.01.12.04.01,МАСЛО СЛИВОЧНОЕ
01.01.01.12.04.02,МАСЛО СЛИВОЧНОЕ С ВКУСОВЫМИ КОМПОНЕНТАМИ
01.01.01.12.04.03,МАСЛО ТОПЛЕНОЕ
01.01.01.13,"ПРЯНОСТИ, ПРИПРАВЫ"
01.01.01.13.01,ПРИПРАВЫ И ПРЯНОСТИ СМЕШАННЫЕ
01.01.01.13.02,"ПРЯНОСТИ, СУХИЕ КОНЦЕНТРАТЫ"
01.01.01.13.02.01,ВАНИЛЬ ОБРАБОТАННАЯ
01.01.01.13.02.02,ЛИСТ ЛАВРОВЫЙ СУШЕНЫЙ
01.01.01.13.02.03,ПЕРЕЦ ОБРАБОТАННЫЙ
01.01.01.13.02.99,ПРЯНОСТИ ОБРАБОТАННЫЕ ПРОЧИЕ
01.01.01.14,"УКСУС, ГОРЧИЦА"
01.01.01.14.01,УКСУС ПИЩЕВОЙ И КИСЛОТА УКСУСНАЯ ПИЩЕВАЯ
01.01.01.14.01.01,"УКСУС ПИЩЕВОЙ И ЕГО ЗАМЕНИТЕЛИ, ПОЛУЧАЕМЫЕ ИЗ УКСУСНОЙ КИСЛОТЫ"
01.01.01.14.01.02,КИСЛОТА УКСУСНАЯ ПИЩЕВАЯ
01.01.01.14.02,"ПОРОШОК ГОРЧИЧНЫЙ, ГОТОВАЯ ГОРЧИЦА"
01.01.01.14.02.01,ПОРОШОК ГОРЧИЧНЫЙ
01.01.01.14.02.02,ГОРЧИЦА ГОТОВАЯ
01.01.01.16,ПЛОДЫ ОРЕХОВЫХ КУЛЬТУР
01.01.01.16.01,ПЛОДЫ ОРЕХОВЫХ КУЛЬТУР СВЕЖИЕ
01.01.01.16.01.01,ОРЕХИ ГРЕЦКИЕ
01.01.01.16.01.02,ОРЕХИ КЕДРОВЫЕ
01.01.01.16.01.03,ОРЕХИ МИНДАЛЯ СЛАДКОГО
01.01.01.16.01.04,ОРЕХИ ЛЕЩИНЫ (ФУНДУК)
01.01.01.16.01.05,ОРЕХИ ФИСТАШКОВЫЕ
01.01.01.16.01.06,ОРЕХИ КЕШЬЮ
01.01.01.16.01.07,ОРЕХИ ПЕКАН
01.01.01.16.01.08,ОРЕХИ КОКОСОВЫЕ
01.01.01.16.01.09,ОРЕХИ БРАЗИЛЬСКИЕ
01.01.01.16.01.10,ОРЕХИ КАШТАНА СЪЕДОБНОГО
01.01.01.16.01.11,ОРЕХИ МАКАДАМИЯ
01.01.01.16.01.12,СМЕСИ ПЛОДОВ ОРЕХОВЫХ КУЛЬТУР
01.01.01.16.02,АРАХИС СВЕЖИЙ
01.01.01.16.03,"ПЛОДЫ ОРЕХОВЫХ КУЛЬТУР ОБРАБОТАННЫЕ, ПАСТА ОРЕХОВАЯ"
01.01.01.17,СЕМЕНА МАСЛИЧНЫЕ И МАСЛОСОДЕРЖАЩИЕ ПЛОДЫ
01.01.01.18,КОМПЛЕКСНЫЕ ПИЩЕВЫЕ ДОБАВКИ
01.01.01.19,"ЧАЙ, КОФЕ, КАКАО"
01.01.01.19.01,ЧАЙНАЯ ПРОДУКЦИЯ
01.01.01.19.01.01,ФИТОЧАЙ
01.01.01.19.01.02,ЧАЙНЫЕ НАПИТКИ РАСТВОРИМЫЕ
01.01.01.19.01.03,ЧАЙ ЗЕЛЕНЫЙ (НЕФЕРМЕНТИРОВАННЫЙ)
01.01.01.19.01.04,ЧАЙ ЧЕРНЫЙ (ФЕРМЕНТИРОВАННЫЙ)
01.01.01.19.01.07,"ЧАЙ ФРУКТОВЫЙ, ЧАЙ ЧАСТИЧНО ФЕРМЕНТИРОВАННЫЙ, ЧАЙ ПУЭР, ЧАЙ МАТЕ"
01.01.01.19.01.08,ЧАЙ В НАБОРАХ
01.01.01.19.01.09,ЧАЙ ХОЛОДНЫЙ
01.01.01.19.02,КОФЕ ЖАРЕНЫЙ
01.01.01.19.03,КОФЕЙНЫЙ НАПИТОК РАСТВОРИМЫЙ
01.01.01.19.04,КАКАО-ПОРОШОК
01.01.01.19.05,НАПИТКИ ИЗ ЦИКОРИЯ
01.01.01.19.05.01,ЦИКОРИЙ РАСТВОРИМЫЙ
01.01.01.19.05.02,"ЦИКОРИЙ РАСТВОРИМЫЙ, ЖИДКИЙ ЭКСТРАКТ"
01.01.01.19.05.03,ЦИКОРИЙ СУШЕНЫЙ
01.01.01.19.06,КОФЕ РАСТВОРИМЫЙ
01.01.01.19.07,КОФЕ БЕЗ КОФЕИНА
01.01.01.19.08,ЭССЕНЦИЯ КОФЕЙНАЯ
01.01.01.19.09,"КОФЕ, ЖИДКИЙ ЭКСТРАКТ"
01.01.01.19.10,НАПИТКИ РАСТВОРИМЫЕ НА ОСНОВЕ КАКАО ПОРОШКА
01.01.01.21,ДРОЖЖИ
01.01.01.21.01,ДРОЖЖИ ХЛЕБОПЕКАРНЫЕ ПРЕССОВАННЫЕ
01.01.01.21.02,ДРОЖЖИ ХЛЕБОПЕКАРНЫЕ СУШЕНЫЕ
01.01.02,ОВОЩИ И ОВОЩНЫЕ КОНСЕРВЫ
01.01.02.01,КАРТОФЕЛЬ
01.01.02.01.01,КАРТОФЕЛЬ СВЕЖИЙ
01.01.02.01.01.01,КАРТОФЕЛЬ ПРОДОВОЛЬСТВЕННЫЙ
01.01.02.01.01.02,БАТАТ (КАРТОФЕЛЬ СЛАДКИЙ)
01.01.02.01.02,КАРТОФЕЛЬ ПЕРЕРАБОТАННЫЙ
01.01.02.01.03,КАРТОФЕЛЬ СЕМЕННОЙ
01.01.02.02,ЛУК
01.01.02.02.01,ЛУК ЗЕЛЕНЫЙ
01.01.02.02.02,ЛУК-ПОРЕЙ
01.01.02.02.03,ЛУК РЕПЧАТЫЙ
01.01.02.02.04,ЛУК-ШАЛОТ
01.01.02.02.05,ЛУК-ШНИТТ
01.01.02.03,ЧЕСНОК
01.01.02.04,ПЕТРУШКА
01.01.02.05,МОРКОВЬ
01.01.02.06,КАПУСТА
01.01.02.06.01,КАПУСТА БЕЛОКОЧАННАЯ
01.01.02.06.02,КАПУСТА КРАСНОКОЧАННАЯ
01.01.02.06.03,КАПУСТА ЦВЕТНАЯ
01.01.02.06.04,КАПУСТА БРЮССЕЛЬСКАЯ
01.01.02.06.05,КАПУСТА БРОККОЛИ
01.01.02.06.06,КАПУСТА РОМАНЕСКО
01.01.02.06.07,КАПУСТА ПЕКИНСКАЯ (КИТАЙСКАЯ)
01.01.02.06.08,КАПУСТА САВОЙСКАЯ
01.01.02.06.09,КАПУСТА КОЛЬРАБИ
01.01.02.07,БАКЛАЖАНЫ
01.01.02.08,СВЕКЛА СТОЛОВАЯ
01.01.02.09,КАБАЧКИ
01.01.02.10,ОГУРЦЫ
01.01.02.11,ПЕРЕЦ (ОВОЩИ)
01.01.02.12,ТОМАТЫ
01.01.02.13,РЕДИС
01.01.02.14,РЕДЬКА
01.01.02.15,РЕПА
01.01.02.16,САЛАТ
01.01.02.16.01,САЛАТ-ЛАТУК
01.01.02.16.03,КУЛЬТУРЫ ОВОЩНЫЕ САЛАТНЫЕ
01.01.02.18,ТЫКВА СТОЛОВАЯ
01.01.02.20,ФАСОЛЬ ОВОЩНАЯ
01.01.02.23,ГОРОХ
01.01.02.24,КУКУРУЗА
01.01.02.25,ПАТИССОНЫ
01.01.02.28,ТОПИНАМБУР
01.01.02.32,ИМБИРЬ
01.01.02.33,БРЮКВА СТОЛОВАЯ
01.01.02.34,КУЛЬТУРЫ ОВОЩНЫЕ ЗЕЛЕНЫЕ
01.01.02.35,ОВОЩИ ПЕРЕРАБОТАННЫЕ И КОНСЕРВИРОВАННЫЕ
01.01.02.35.01,ОВОЩИ ЗАМОРОЖЕННЫЕ
01.01.02.35.03,ОВОЩИ СУШЕНЫЕ
01.01.02.35.04,"ОВОЩИ КОНСЕРВИРОВАННЫЕ, КОНСЕРВЫ ОВОЩНЫЕ"
01.01.02.35.04.01,ОВОЩИ МАРИНОВАННЫЕ
01.01.02.35.04.02,"ОВОЩИ СОЛЕНЫЕ, КВАШЕНЫЕ, ВЯЛЕНЫЕ"
01.01.02.35.04.03,КОНСЕРВЫ ОВОЩНЫЕ ГОТОВЫЕ К УПОТРЕБЛЕНИЮ
01.01.02.35.05,ИКРА ОВОЩНАЯ
01.01.02.35.06,"ГОРОХ, КОНСЕРВИРОВАННЫЙ БЕЗ УКСУСА ИЛИ УКСУСНОЙ КИСЛОТЫ (КРОМЕ ГОТОВЫХ БЛЮД ИЗ ОВОЩЕЙ)"
01.01.02.36,СПАРЖА
01.01.03,ФРУКТЫ (КРОМЕ СУХОФРУКТОВ) И ФРУКТОВЫЕ КОНСЕРВЫ
01.01.03.01,ЯБЛОКИ
01.01.03.02,АПЕЛЬСИНЫ
01.01.03.03,БАНАНЫ
01.01.03.04,ГРУШИ
01.01.03.05,КИВИ
01.01.03.06,ЛИМОНЫ
01.01.03.07,МАНДАРИНЫ
01.01.03.08,ПЕРСИКИ
01.01.03.09,НЕКТАРИНЫ
01.01.03.10,АНАНАСЫ
01.01.03.11,ДЫНИ
01.01.03.12,АВОКАДО
01.01.03.13,ГРАНАТЫ
01.01.03.14,МАНГО
01.01.03.15,ХУРМА
01.01.03.16,ФЕЙХОА
01.01.03.17,МАРАКУЙЯ
01.01.03.18,ПАПАЙЯ
01.01.03.19,ИНЖИР
01.01.03.20,ФИЗАЛИС
01.01.03.21,ЛАЙМЫ
01.01.03.22,ГРЕЙПФРУТЫ
01.01.03.23,ПОМЕЛО
01.01.03.24,АЙВА
01.01.03.25,"ФРУКТЫ, ЯГОДЫ ПЕРЕРАБОТАННЫЕ И КОНСЕРВИРОВАННЫЕ"
01.01.03.25.01,"ФРУКТЫ, ЯГОДЫ ЗАМОРОЖЕННЫЕ"
01.01.03.25.01.01,ЯГОДЫ ЗАМОРОЖЕННЫЕ
01.01.03.25.01.02,ФРУКТЫ ЗАМОРОЖЕННЫЕ
01.01.03.25.01.03,"СОРБЕТЫ ФРУКТОВЫЕ, ЯГОДНЫЕ"
01.01.03.25.01.04,СМЕСИ ФРУКТОВО-ЯГОДНЫЕ (КОМПОТНЫЕ) ЗАМОРОЖЕННЫЕ
01.01.03.25.01.05,"ПЮРЕ ФРУКТОВЫЕ, ЯГОДНЫЕ ЗАМОРОЖЕННЫЕ"
01.01.03.25.02,"ФРУКТЫ, ЯГОДЫ И ИХ СМЕСИ СУШЕНЫЕ, СМЕСИ ИЗ СУХОФРУКТОВ И ОРЕХОВ"
01.01.03.25.02.01,ФРУКТЫ СУШЕНЫЕ
01.01.03.25.02.02,СМЕСИ СУШЕНЫХ ФРУКТОВ (СУХОЙ КОМПОТ)
01.01.03.25.02.03,СМЕСИ ИЗ СУХОФРУКТОВ И ОРЕХОВ
01.01.03.25.02.04,ЯГОДЫ СУШЕНЫЕ
01.01.03.25.03,КОНСЕРВЫ ФРУКТОВЫЕ И ЯГОДНЫЕ
01.01.03.25.04,ДЖЕМЫ
01.01.03.25.05,ЖЕЛЕ
01.01.04,ЯГОДЫ СВЕЖИЕ
01.01.04.01,АРБУЗЫ
01.01.04.02,ВИНОГРАД
01.01.04.03,ВИШНЯ
01.01.04.04,"КЛУБНИКА, ЗЕМЛЯНИКА"
01.01.04.05,КЛЮКВА
01.01.04.06,СМОРОДИНА
01.01.04.08,"МАЛИНА, ЕЖЕВИКА"
01.01.04.08.01,МАЛИНА
01.01.04.08.02,ЕЖЕВИКА
01.01.04.09,АБРИКОСЫ
01.01.04.10,АЛЫЧА
01.01.04.12,БРУСНИКА
01.01.04.13,КАЛИНА
01.01.04.14,КРЫЖОВНИК
01.01.04.15,"ЧЕРНИКА, ГОЛУБИКА"
01.01.04.16,СЛИВЫ
01.01.04.17,ЧЕРЕШНЯ
01.01.05,ГРИБЫ
01.01.05.01,ГРИБЫ ТЕПЛИЧНЫЕ
01.01.05.02,ГРИБЫ ДИКОРАСТУЩИЕ
01.01.05.03,ГРИБЫ ЗАМОРОЖЕННЫЕ
01.01.05.04,ГРИБЫ СУШЕНЫЕ
01.01.05.05,ГРИБЫ КОНСЕРВИРОВАННЫЕ
01.01.06,ХЛЕБ И ХЛЕБОБУЛОЧНЫЕ ИЗДЕЛИЯ
01.01.06.01,ХЛЕБ
01.01.06.01.10,ХЛЕБ НЕДЛИТЕЛЬНОГО ХРАНЕНИЯ
01.01.06.04,ИЗДЕЛИЯ БАРАНОЧНЫЕ
01.01.06.05,ИЗДЕЛИЯ СУХАРНЫЕ
01.01.06.06,ИЗДЕЛИЯ БУЛОЧНЫЕ
01.01.06.07,СУХАРИ ПАНИРОВОЧНЫЕ
01.01.06.08,КУЛИЧИ ПАСХАЛЬНЫЕ
01.01.06.09,СОЛОМКА И ХЛЕБНЫЕ ПАЛОЧКИ
01.01.06.09.01,СОЛОМКА ХЛЕБНАЯ
01.01.06.09.02,ПАЛОЧКИ ХЛЕБНЫЕ
01.01.06.10,ХЛЕБЦЫ ХРУСТЯЩИЕ
01.01.06.11,ХЛЕБОБУЛОЧНЫЕ ИЗДЕЛИЯ ДЛИТЕЛЬНОГО ХРАНЕНИЯ
01.01.06.12,ХЛЕБОБУЛОЧНЫЕ ИЗДЕЛИЯ ДЛЯ ДИЕТИЧЕСКОГО ПИТАНИЯ
01.01.06.13,"ЛАВАШИ, ЛЕПЕШКИ"
01.01.06.14,"ТАРТАЛЕТКИ, ВОЛОВАНЫ, ТРУБОЧКИ ИЗ ТЕСТА"
01.01.06.15,"ПИРОГИ, ПИРОЖКИ"
01.01.06.16,КЕКСЫ
01.01.06.17,КОРЖИКИ
01.01.06.18,ПОНЧИКИ
01.01.06.19,РУЛЕТЫ БИСКВИТНЫЕ
01.01.06.20,СЭНДВИЧИ
01.01.07,ИЗДЕЛИЯ КОНДИТЕРСКИЕ
01.01.07.01,КОНФЕТЫ
01.01.07.02,"ШОКОЛАД, ИЗДЕЛИЯ ШОКОЛАДНЫЕ"
01.01.07.02.06,ШОКОЛАД
01.01.07.02.07,ИЗДЕЛИЯ ШОКОЛАДНЫЕ
01.01.07.03,ПЕЧЕНЬЕ
01.01.07.03.06,ПЕЧЕНЬЕ СЛАДКОЕ
01.01.07.03.07,ПЕЧЕНЬЕ РАСТВОРИМОЕ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.07.04,ПИРОЖНЫЕ
01.01.07.04.01,ПИРОЖНЫЕ НЕДЛИТЕЛЬНОГО ХРАНЕНИЯ
01.01.07.04.02,ПИРОЖНЫЕ ДЛИТЕЛЬНОГО ХРАНЕНИЯ
01.01.07.05,ТОРТЫ
01.01.07.05.08,ТОРТЫ НЕДЛИТЕЛЬНОГО ХРАНЕНИЯ
01.01.07.05.09,ТОРТЫ ДЛИТЕЛЬНОГО ХРАНЕНИЯ
01.01.07.06,"ПРЯНИКИ, КОВРИЖКИ"
01.01.07.06.01,ПРЯНИКИ
01.01.07.06.02,КОВРИЖКИ
01.01.07.07,ВАФЛИ
01.01.07.08,МАРМЕЛАД
01.01.07.09,ПАСТИЛА
01.01.07.10,ПАСТЫ ШОКОЛАДНЫЕ
01.01.07.11,ЗЕФИР
01.01.07.12,ИРИС
01.01.07.13,КАРАМЕЛЬ
01.01.07.14,КРЕКЕРЫ
01.01.07.15,ГАЛЕТЫ
01.01.07.16,ХАЛВА
01.01.07.17,ДРАЖЕ
01.01.07.20,РЕЗИНКА ЖЕВАТЕЛЬНАЯ
01.01.07.21,СЛАДОСТИ ВОСТОЧНЫЕ
01.01.07.22,ОРЕХИ ЗАСАХАРЕННЫЕ
01.01.07.23,ФРУКТЫ ЗАСАХАРЕННЫЕ (ЦУКАТЫ)
01.01.07.24,ПОКРЫТИЯ КОНДИТЕРСКИЕ
01.01.07.25,УКРАШЕНИЯ КОНДИТЕРСКИЕ
01.01.07.26,БАТОНЧИКИ ЗЛАКОВЫЕ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08,МЯСО И МЯСНЫЕ ПРОДУКТЫ
01.01.08.01,МЯСО
01.01.08.01.01,БАРАНИНА
01.01.08.01.01.01,БАРАНИНА ОХЛАЖДЕННАЯ
01.01.08.01.01.02,БАРАНИНА ОХЛАЖДЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.01.03,БАРАНИНА ЗАМОРОЖЕННАЯ
01.01.08.01.01.04,БАРАНИНА ЗАМОРОЖЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.02,ГОВЯДИНА
01.01.08.01.02.01,ГОВЯДИНА ЗАМОРОЖЕННАЯ
01.01.08.01.02.02,ГОВЯДИНА ЗАМОРОЖЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.02.03,ГОВЯДИНА ОХЛАЖДЕННАЯ
01.01.08.01.02.04,ГОВЯДИНА ОХЛАЖДЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.03,МЯСО КРОЛИКОВ
01.01.08.01.04,СВИНИНА
01.01.08.01.04.01,СВИНИНА ЗАМОРОЖЕННАЯ
01.01.08.01.04.02,СВИНИНА ЗАМОРОЖЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.04.03,СВИНИНА ОХЛАЖДЕННАЯ
01.01.08.01.04.04,СВИНИНА ОХЛАЖДЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.05,ТЕЛЯТИНА
01.01.08.01.05.01,ТЕЛЯТИНА ЗАМОРОЖЕННАЯ
01.01.08.01.05.02,ТЕЛЯТИНА ЗАМОРОЖЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.05.03,ТЕЛЯТИНА ОХЛАЖДЕННАЯ
01.01.08.01.05.04,ТЕЛЯТИНА ОХЛАЖДЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.01.06,ЯГНЯТИНА
01.01.08.01.06.01,ЯГНЯТИНА ЗАМОРОЖЕННАЯ
01.01.08.01.06.02,ЯГНЯТИНА ОХЛАЖДЕННАЯ
01.01.08.01.06.03,ЯГНЯТИНА ДЛЯ ДЕТСКОГО ПИТАНИЯ ЗАМОРОЖЕННАЯ
01.01.08.01.06.04,ЯГНЯТИНА ДЛЯ ДЕТСКОГО ПИТАНИЯ ОХЛАЖДЕННАЯ
01.01.08.01.07,ОЛЕНИНА
01.01.08.01.08,МЯСО КАБАНЬЕ
01.01.08.01.09,"КОНИНА, ЖЕРЕБЯТИНА"
01.01.08.01.10,КОЗЛЯТИНА
01.01.08.01.11,МЯСО ПТИЦЫ
01.01.08.01.11.05,"МЯСО СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПТИЦЫ ЗАМОРОЖЕННОЕ, В ТОМ ЧИСЛЕ ДЛЯ ДЕТСКОГО ПИТАНИЯ"
01.01.08.01.11.06,МЯСО СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПТИЦЫ ОХЛАЖДЕННОЕ
01.01.08.01.11.07,МЯСО СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПТИЦЫ ОХЛАЖДЕННОЕ ДЛЯ ДЕТСКОГО ПИТАНИЯ
01.01.08.02,МЯСНЫЕ СУБПРОДУКТЫ
01.01.08.02.04,"СУБПРОДУКТЫ ГОВЯЖЬИ, СВИНЫЕ И БАРАНЬИ"
01.01.08.02.04.01,СУБПРОДУКТЫ ГОВЯЖЬИ ОХЛАЖДЕННЫЕ
01.01.08.02.04.02,СУБПРОДУКТЫ ГОВЯЖЬИ ЗАМОРОЖЕННЫЕ
01.01.08.02.04.03,СУБПРОДУКТЫ СВИНЫЕ ОХЛАЖДЕННЫЕ
01.01.08.02.04.04,СУБПРОДУКТЫ СВИНЫЕ ЗАМОРОЖЕННЫЕ
01.01.08.02.04.05,СУБПРОДУКТЫ БАРАНЬИ
01.01.08.02.04.06,СУБПРОДУКТЫ ТЕЛЯЧЬИ
01.01.08.02.05,СУБПРОДУКТЫ ПТИЦЫ
01.01.08.02.05.01,СУБПРОДУКТЫ ПТИЦЫ ЗАМОРОЖЕННЫЕ
01.01.08.02.05.02,СУБПРОДУКТЫ ПТИЦЫ ОХЛАЖДЕННЫЕ
01.01.08.03,ПРОДУКТЫ ПЕРЕРАБОТКИ МЯСА
01.01.08.03.01,ИЗДЕЛИЯ КОЛБАСНЫЕ
01.01.08.03.01.04,ИЗДЕЛИЯ КОЛБАСНЫЕ КОПЧЕНЫЕ
01.01.08.03.01.04.01,ИЗДЕЛИЯ КОЛБАСНЫЕ ПОЛУКОПЧЕНЫЕ МЯСНЫЕ
01.01.08.03.01.04.02,ИЗДЕЛИЯ КОЛБАСНЫЕ ВАРЕНО-КОПЧЕНЫЕ МЯСНЫЕ
01.01.08.03.01.04.03,ИЗДЕЛИЯ КОЛБАСНЫЕ СЫРОКОПЧЕНЫЕ МЯСНЫЕ
01.01.08.03.01.04.04,ИЗДЕЛИЯ КОЛБАСНЫЕ СЫРОКОПЧЕНЫЕ МАЖУЩЕЙСЯ КОНСИСТЕНЦИИ
